date_sk,calendar_date,year,quarter,month,month_name,day_of_month,day_of_week,day_name,is_weekend,is_business_day,week_of_year
1,2020-01-01,2020,1,1,January,1,3,Wednesday,false,true,1
2,2020-01-02,2020,1,1,January,2,4,Thursday,false,true,1
3,2020-01-03,2020,1,1,January,3,5,Friday,false,true,1
4,2020-01-04,2020,1,1,January,4,6,Saturday,true,false,1
5,2020-01-05,2020,1,1,January,5,0,Sunday,true,false,1
6,2020-01-06,2020,1,1,January,6,1,Monday,false,true,2
7,2020-01-07,2020,1,1,January,7,2,Tuesday,false,true,2
